id,employeeid,log_datetime,direction,shortname,serialno
5461,1547,2024-08-10 13:58:25+00,In Device,CHECKIN,NCD8242000216
5462,1368,2024-08-20 05:57:34+00,Out Device,CHECKOUT,NCD8242000384
5463,1353,2024-08-10 13:58:36+00,In Device,CHECKIN,NCD8242000216
5464,1185,2024-08-20 05:57:38+00,Out Device,CHECKOUT,NCD8242000384
5465,1605,2024-08-10 13:58:40+00,In Device,CHECKIN,NCD8242000216
5466,1107,2024-08-20 05:57:40+00,Out Device,CHECKOUT,NCD8242000384
5467,1637,2024-08-10 13:58:42+00,In Device,CHECKIN,NCD8242000216
5468,1640,2024-08-10 13:59:08+00,In Device,CHECKIN,NCD8242000216
5469,850,2024-08-20 05:57:42+00,Out Device,CHECKOUT,NCD8242000384
5470,944,2024-08-20 05:57:54+00,Out Device,CHECKOUT,NCD8242000384
5471,825,2024-08-10 13:59:48+00,In Device,CHECKIN,NCD8242000216
5472,1628,2024-08-20 05:57:58+00,Out Device,CHECKOUT,NCD8242000384
5473,1622,2024-08-10 13:59:56+00,In Device,CHECKIN,NCD8242000216
5474,2,2024-08-20 05:58:01+00,Out Device,CHECKOUT,NCD8242000384
5475,1379,2024-08-10 13:59:58+00,In Device,CHECKIN,NCD8242000216
5476,1341,2024-08-20 05:58:07+00,Out Device,CHECKOUT,NCD8242000384
5477,1521,2024-08-10 14:00:01+00,In Device,CHECKIN,NCD8242000216
5478,1342,2024-08-20 05:58:11+00,Out Device,CHECKOUT,NCD8242000384
5479,1508,2024-08-10 14:00:03+00,In Device,CHECKIN,NCD8242000216
5480,1557,2024-08-20 05:58:14+00,Out Device,CHECKOUT,NCD8242000384
5481,1635,2024-08-10 14:00:04+00,In Device,CHECKIN,NCD8242000216
5482,1618,2024-08-20 05:58:18+00,Out Device,CHECKOUT,NCD8242000384
5483,1633,2024-08-10 14:00:09+00,In Device,CHECKIN,NCD8242000216
5484,1671,2024-08-20 05:58:21+00,Out Device,CHECKOUT,NCD8242000384
5485,1500,2024-08-10 14:00:12+00,In Device,CHECKIN,NCD8242000216
5486,1583,2024-08-20 05:58:32+00,Out Device,CHECKOUT,NCD8242000384
5487,1644,2024-08-10 14:00:15+00,In Device,CHECKIN,NCD8242000216
5488,1595,2024-08-20 05:58:38+00,Out Device,CHECKOUT,NCD8242000384
5489,1545,2024-08-10 14:00:17+00,In Device,CHECKIN,NCD8242000216
5490,1128,2024-08-10 14:00:20+00,In Device,CHECKIN,NCD8242000216
5491,1196,2024-08-20 05:58:42+00,Out Device,CHECKOUT,NCD8242000384
5492,1104,2024-08-10 14:00:24+00,In Device,CHECKIN,NCD8242000216
5493,1174,2024-08-20 05:58:46+00,Out Device,CHECKOUT,NCD8242000384
5494,1102,2024-08-20 05:58:49+00,Out Device,CHECKOUT,NCD8242000384
5495,1588,2024-08-10 14:00:25+00,In Device,CHECKIN,NCD8242000216
5496,1542,2024-08-10 14:00:28+00,In Device,CHECKIN,NCD8242000216
5497,994,2024-08-20 05:58:53+00,Out Device,CHECKOUT,NCD8242000384
5498,1145,2024-08-10 14:00:32+00,In Device,CHECKIN,NCD8242000216
5499,1521,2024-08-20 05:58:56+00,Out Device,CHECKOUT,NCD8242000384
5500,1467,2024-08-10 14:00:34+00,In Device,CHECKIN,NCD8242000216
5501,1261,2024-08-20 05:58:58+00,Out Device,CHECKOUT,NCD8242000384
5502,894,2024-08-10 14:00:35+00,In Device,CHECKIN,NCD8242000216
5503,1079,2024-08-20 05:59:01+00,Out Device,CHECKOUT,NCD8242000384
5504,1134,2024-08-10 14:00:44+00,In Device,CHECKIN,NCD8242000216
5505,1494,2024-08-20 05:59:04+00,Out Device,CHECKOUT,NCD8242000384
5506,1570,2024-08-10 14:00:46+00,In Device,CHECKIN,NCD8242000216
5507,1120,2024-08-20 05:59:07+00,Out Device,CHECKOUT,NCD8242000384
5508,850,2024-08-10 14:00:49+00,In Device,CHECKIN,NCD8242000216
5509,1651,2024-08-20 05:59:09+00,Out Device,CHECKOUT,NCD8242000384
5510,1149,2024-08-10 14:00:52+00,In Device,CHECKIN,NCD8242000216
5511,1550,2024-08-20 05:59:12+00,Out Device,CHECKOUT,NCD8242000384
5512,1511,2024-08-10 14:00:54+00,In Device,CHECKIN,NCD8242000216
5513,1562,2024-08-20 05:59:14+00,Out Device,CHECKOUT,NCD8242000384
5514,1396,2024-08-10 14:01:07+00,In Device,CHECKIN,NCD8242000216
5515,1652,2024-08-20 05:59:17+00,Out Device,CHECKOUT,NCD8242000384
5516,1546,2024-08-10 14:01:14+00,In Device,CHECKIN,NCD8242000216
5517,1649,2024-08-20 05:59:19+00,Out Device,CHECKOUT,NCD8242000384
5518,1336,2024-08-10 14:01:27+00,In Device,CHECKIN,NCD8242000216
5519,1650,2024-08-20 05:59:21+00,Out Device,CHECKOUT,NCD8242000384
5520,1603,2024-08-10 14:01:30+00,In Device,CHECKIN,NCD8242000216
5521,1523,2024-08-20 05:59:23+00,Out Device,CHECKOUT,NCD8242000384
5522,1081,2024-08-10 14:01:32+00,In Device,CHECKIN,NCD8242000216
